-3.78	-3.792	-3.765	-3.715	-3.649	-3.577	-3.513	-3.443	-3.378	-3.332	-3.324	-3.35	-3.401	-3.418	-3.406	-3.404	-3.446	-3.515	-3.567	-3.567	-3.531	-3.499	-3.447	-3.414	-3.412	-3.39	-3.359	-3.371	-3.374	-3.344	-3.333	-3.319	-3.313	-3.332	-3.353	-3.35	-3.29	-3.265	-3.269	-3.244	-3.261	-3.295	-3.314	-3.365	-3.428	-3.424	-3.409	-3.382	-3.357	-3.375	-3.393	-3.386	-3.398	-3.408	-3.401	-3.426	-3.475	-3.474	-3.47	-3.476	-3.531	-3.554	-3.554	-3.52	-3.513	-3.517	-3.502	-3.469	-3.453	-3.408	-3.369	-3.332	-3.321	-3.354	-3.399	-3.478	-3.528	-3.598	-3.66	-3.712	-3.724	-3.687	-3.678	-3.752	-3.861	-3.935	-3.959	-3.977	-3.995	-4.015	-4.014	-4.027	-4.076	-4.126	-4.184	-4.233	-4.278	-4.355	-4.446	-4.512	-4.571	-4.611	-4.679	-4.759	-4.805	-4.821	-4.864	-4.931	-4.947	-4.961	-4.964	-4.984	-5.004	-5.004	-4.974	-4.966	-4.969	-4.941	-4.92	-4.895	-4.867	-4.876	-4.937	-5.011	-5.101	-5.16	-5.145	-5.123	-5.091	-5.048	-4.998	-4.969	-4.888	-4.803	-4.722	-4.596	-4.481	-4.365	-4.265	-4.192	-4.102	-4	-3.864	-3.657
-1.522	-1.49	-1.374	-1.259	-1.155	-1.024	-0.886	-0.656	-0.457	-0.311	-0.284	-0.296	-0.48	-0.552	-0.624	-0.646	-0.769	-0.985	-1.173	-1.293	-1.328	-1.354	-1.326	-1.341	-1.393	-1.396	-1.325	-1.341	-1.37	-1.342	-1.385	-1.412	-1.389	-1.441	-1.394	-1.38	-1.086	-0.95	-0.817	-0.588	-0.462	-0.413	-0.332	-0.333	-0.461	-0.427	-0.453	-0.434	-0.393	-0.435	-0.516	-0.371	-0.359	-0.25	-0.072	0.002	-0.024	0.019	-0.01	-0.066	-0.292	-0.487	-0.688	-0.856	-1.029	-1.282	-1.432	-1.572	-1.769	-1.896	-1.993	-2.057	-2.198	-2.327	-2.487	-2.646	-2.67	-2.76	-2.783	-2.815	-2.848	-2.69	-2.628	-2.714	-2.922	-3.084	-3.133	-3.222	-3.329	-3.458	-3.456	-3.551	-3.656	-3.769	-3.885	-3.934	-3.924	-4.019	-4.105	-4.106	-4.135	-4.119	-4.146	-4.223	-4.264	-4.198	-4.22	-4.311	-4.286	-4.276	-4.268	-4.255	-4.275	-4.306	-4.19	-4.153	-4.18	-4.072	-4.029	-4.017	-3.95	-3.944	-3.997	-3.992	-4.088	-4.109	-4.003	-3.941	-3.853	-3.732	-3.602	-3.564	-3.334	-3.174	-3.086	-2.846	-2.708	-2.544	-2.432	-2.367	-2.272	-2.176	-2.038	-1.764
0.781	0.896	1.097	1.327	1.458	1.662	1.671	1.564	1.504	1.558	1.686	1.683	1.564	1.441	1.454	1.557	1.669	1.529	1.375	1.286	1.311	1.295	1.215	1.127	1.072	0.925	0.934	0.842	0.637	0.457	0.195	-0.109	-0.094	0.063	0.119	0.242	0.52	0.87	0.832	0.618	0.777	0.601	0.656	0.795	0.994	1.37	1.566	1.974	2.172	2.01	1.973	2.103	2.134	2.006	1.746	1.2	0.344	-0.114	-0.121	0.064	0.567	0.983	1.882	1.967	1.91	1.498	1.235	0.929	0.524	0.204	-0.132	-0.391	-0.689	-1.007	-1.401	-1.736	-1.771	-1.754	-1.752	-1.838	-1.971	-1.886	-1.689	-1.756	-2.02	-2.443	-2.571	-2.731	-3.005	-3.225	-3.344	-3.474	-3.62	-3.784	-4.008	-4.055	-4.045	-4.062	-4.127	-4.163	-4.172	-4.096	-4.078	-4.196	-4.276	-4.165	-3.973	-3.967	-3.95	-3.911	-3.801	-3.712	-3.685	-3.646	-3.444	-3.274	-3.185	-3.059	-2.959	-2.874	-2.843	-2.849	-2.86	-2.826	-2.809	-2.739	-2.62	-2.547	-2.477	-2.334	-2.171	-2.099	-1.902	-1.647	-1.523	-1.337	-1.111	-0.868	-0.721	-0.493	-0.437	-0.405	-0.249	0.193
2.165	2.381	2.55	2.799	3.064	3.059	2.958	2.801	2.657	2.655	2.927	2.879	2.757	2.517	2.637	2.732	2.873	2.783	2.611	2.387	2.232	2.221	2.172	1.861	1.901	2.079	2.153	2.183	2.094	2.045	1.904	1.659	1.232	0.759	-0.576	-0.309	-0.389	0.067	-0.94	-2.184	-2.551	-2.724	-2.046	-0.567	1.939	3.66	4.052	2.873	2.197	1.545	1.139	1.184	1.216	0.725	0.188	-0.376	-0.415	-0.029	0.399	1.025	1.507	1.862	2.697	2.81	1.999	2.485	3.07	3.433	3.311	3.073	2.822	2.153	1.572	1.001	0.29	-0.446	-0.911	-0.214	0.117	-0.062	-0.378	-0.596	-0.534	-0.621	-0.856	-1.24	-1.574	-1.883	-2.267	-2.348	-2.366	-2.43	-2.732	-2.88	-3.001	-2.997	-2.966	-3.015	-3.141	-3.265	-3.327	-3.274	-3.331	-3.533	-3.778	-3.849	-3.793	-3.817	-3.841	-4.268	-3.906	-3.121	-2.663	-2.452	-2.131	-1.687	-1.331	-1.065	-0.811	-0.603	-0.582	-0.639	-0.696	-0.63	-0.531	-0.572	-0.479	-0.344	-0.487	-0.415	-0.105	0.482	0.865	1.248	1.638	1.797	1.819	1.712	1.412	0.989	0.795	0.927	1.219	1.481
4.031	4.213	4.341	4.688	5.061	4.922	4.666	4.254	3.826	3.909	4.07	3.934	3.79	3.547	3.674	3.682	3.563	3.419	3.393	3.049	2.548	2.437	2.372	2.015	2.027	2.583	3.021	3.706	4.196	4.031	3.307	2.867	3.068	2.545	1.972	2.99	4.506	5.578	5.513	4.519	4.434	5.718	7.137	8.01	6.821	5.371	2.983	1.025	0.067	-0.426	-0.62	-0.787	-0.94	-1.097	-1.434	-1.462	-0.841	0.082	1.264	2.782	4.122	5.177	6.651	7.854	7.88	8.161	7.221	6.789	5.628	4.637	4.108	3.655	3.191	2.718	2.139	1.609	0.385	0.074	0.117	0.638	1.383	1.313	1.367	1.237	0.754	0.355	-0.051	-0.177	-0.372	-0.365	-0.055	0.153	0.119	0.171	0.372	0.321	0.375	0.364	0.152	-0.293	-0.457	-0.292	-0.431	-0.76	-1.244	-1.723	-2.023	-2.352	-2.92	-3.453	-3.648	-3.411	-3.675	-3.469	-2.092	-1.211	-0.561	-0.196	0.126	0.34	0.615	0.584	0.612	0.883	1.178	1.449	1.537	1.611	1.323	1.147	1.437	2.06	2.522	2.721	2.96	3.473	3.684	3.993	4.095	3.596	3.242	3.102	3.317	3.466
6.638	6.518	6.324	6.395	6.681	6.521	6.368	6.189	5.999	6.077	6.092	5.861	5.41	5.056	5.018	4.736	4.03	3.653	3.563	3.608	3.343	3.298	3.405	2.96	2.83	3.514	4.071	5.309	6.566	6.57	6.014	4.737	4.395	4.888	5.641	5.628	5.828	5.347	5.833	7.097	9.607	11.933	12.744	12.41	11.391	10.558	10.199	9.608	7.981	4.998	2.633	1.171	0.114	-0.31	-0.707	-1.108	-0.65	0.419	1.418	2.212	3.422	5.201	8.551	11.648	12.463	12.678	11.152	9.29	7.366	6.03	4.785	4.326	3.803	3.232	2.803	2.538	2.443	2.519	3.008	4.084	4.487	4.468	3.854	3.649	3.298	2.744	2.38	2.333	2.658	2.56	2.556	2.891	2.976	3.018	3.019	2.114	2.103	2.416	2.52	2.44	2.132	2.407	2.282	1.971	1.235	0.698	0.58	0.207	-0.608	-1.476	-1.236	-1.36	-2.199	-2.83	-2.762	-2.913	-2.583	-1.045	-0.51	-0.34	-0.334	-0.152	0.306	0.909	1.596	1.984	1.914	1.445	1.373	1.577	2.229	2.836	3.559	3.464	3.649	4.412	5.223	6.488	7.017	6.953	6.813	6.609	6.496	6.629
8.415	8.629	8.093	7.607	7.396	7.079	6.741	6.65	6.882	7.391	8.124	7.709	7.183	6.897	7.111	7.152	6.736	6.537	6.577	6.907	6.484	6.288	5.457	3.816	3.057	3.668	5.218	6.303	7.287	8.191	8.327	6.681	6.117	6.707	5.055	5.937	6.106	5.642	5.108	5.274	6.891	10.538	13.144	14.538	15.821	15.921	16.421	18.764	20.021	17.312	10.629	5.644	2.825	0.955	-0.555	-1.821	-2.168	-1.707	-0.673	1.266	4.631	8.297	12.194	15.759	16.678	15.126	13.243	10.463	8.237	6.925	6.445	6.314	5.889	5.306	4.959	4.63	4.43	3.671	3.506	3.917	4.394	5.167	5.95	6.508	6.453	5.89	5.367	5.195	5.381	5.143	4.764	4.281	3.57	2.314	1.711	1.901	2.648	3.589	3.438	3.349	3.647	4.273	4.103	3.399	1.762	0.739	0.437	0.217	-0.444	-0.783	-0.285	0.087	0.412	0.488	0.024	-0.545	-1.139	-1.195	-1.493	0.08	0.694	0.382	0.331	1.099	1.768	1.622	1.607	1.535	1.399	1.801	2.663	3.731	5.139	6.438	6.602	6.89	7.259	7.895	8.845	9.6	9.659	9.517	9.139	9.221
8.908	10.226	10.418	9.749	9.002	8.378	7.411	6.7	6.052	6.515	7.579	7.922	7.702	7.137	6.87	6.965	6.461	6.145	6.261	6.376	6.283	6.202	5.018	3.812	2.987	2.21	2.722	3.144	3.861	5.091	6.371	6.61	5.982	5.705	5.534	6.804	6.071	4.946	4.481	3.469	3.012	4.22	6.177	8.67	12.536	15.476	16.217	19.172	21.831	21.385	16.728	12.335	8.038	4.423	1.877	-0.184	-1.323	-1.003	1.286	4.322	6.982	10.611	14.486	17.1	18.01	16.004	14.365	11.531	9.794	8.276	8.104	7.518	7.456	7.169	6.855	6.597	6.206	6.176	6.327	6.414	7.349	7.331	8.438	8.578	8.446	8.1	7.913	7.201	6.606	5.915	5.445	4.684	3.767	2.224	1.901	1.945	2.013	3.229	4.127	3.337	3.091	3.88	3.934	3.104	2.339	1.601	1.371	2.036	1.719	1.425	1.975	2.531	3.001	2.871	2.199	1.547	1.485	1.675	1.452	2.035	2.756	2.263	1.682	1.854	2.944	3.08	3.318	3.615	3.462	3.588	4.294	4.757	5.727	7.404	7.569	8.138	8.812	8.788	9.65	10.339	10.791	10.694	10.423	10.211
7.786	9.499	10.606	10.486	9.594	9.336	7.979	5.7	4.452	4.114	4.489	6.049	6.715	6.85	6.252	5.852	5.609	5.718	5.812	5.067	4.45	4.063	2.762	1.374	1.483	1.851	1.165	0.035	0.25	1.29	2.734	3.995	4.583	5.11	4.975	4.212	4.732	5.242	4.223	5.909	5.5	3.635	3.212	1.425	3.787	7.912	11.208	13.703	16.318	18.121	16.329	14.315	10.329	5.975	3.638	1.455	0.732	2.595	8.81	11.076	12.219	15.399	17.707	18.267	16.565	14.819	13.116	12.092	10.934	9.803	9.279	8.111	7.525	7.334	7.005	6.902	6.211	6.943	5.591	4.892	6.743	8.262	8.819	8.449	8.194	7.707	8.082	8.294	7.269	6.111	5.788	5.259	4.794	4.662	4.919	4.708	3.772	3.164	4.586	5.217	4.627	4.747	5.268	5.039	3.915	3.804	4.418	4.876	4.052	2.486	2.742	3.31	4.7	5.242	5.329	5.808	6.165	6.516	6.892	6.295	6.795	7.255	5.798	3.685	5.427	7.352	7.25	6.779	7.737	8.97	9.391	9.264	9.516	9.23	8.992	9.102	9.2	8.578	8.788	9.585	9.465	8.554	8.388	8.364
7.877	7.916	9.352	10.085	9.939	8.855	8.095	7.659	7.965	8.303	8.501	9.862	11.377	12.012	11.998	10.694	9.316	9.365	8.992	7.746	8.003	7.981	7.525	7.047	4.432	2.163	0.797	-0.22	-0.329	0.391	1.226	1.41	1.983	2.635	2.751	1.804	1.839	2.907	2.794	3.981	3.608	3.118	3.068	2.37	2.092	2.592	3.466	6.48	8.896	10.046	8.888	7.361	6.456	2.057	1.404	5.847	10.759	13.335	16.48	14.157	11.541	10.369	11.08	12.757	13.479	13.664	13.682	12.633	10.498	9.205	8.375	7.812	7.135	6.582	5.976	6.427	7.001	6.195	5.845	6.955	8.656	9.553	8.407	7.069	7.023	7.325	7.208	7.151	6.493	6.44	6.947	7.676	7.752	7.653	7.802	7.28	6.437	6.41	7.063	7.63	7.513	6.649	6.604	7.086	6.643	6.702	7.883	7.906	7.638	7.36	7.34	7.876	8.092	8.267	8.707	9.058	8.174	7.698	8.155	8.505	9.112	9.428	7.916	6.512	8.782	10.397	10.913	10.083	9.322	10.021	10.068	11.143	12.392	11.936	11.636	11.344	11.073	10.744	10.956	11.809	11.417	10.866	10.203	9.388
